mode,voltage_v,power_w,current_a,shunt_uv,current_error_percent,voltage_error_percent,output_burden_w,power_error_percent,target_percent,within_allocation
trend,20.0,180.0,9.0,45000.0,0.3348664965515362,0.14836328125,0.0007000000000000001,0.48411606258084855,1,True
trend,28.0,0.5,0.017857142857142856,89.28571428571429,6.376438758553029,0.1438309151785714,0.0012599999999999998,6.7818034178600755,5,False
trend,28.0,1.0,0.03571428571428571,178.57142857142858,3.3494693792765142,0.1438309151785714,0.0012599999999999998,3.624299093870064,5,True
trend,28.0,5.0,0.17857142857142858,892.8571428571429,0.9278938758553028,0.1438309151785714,0.0012599999999999998,1.0982956346780368,1,False
trend,28.0,252.0,9.0,45000.0,0.33451178325109726,0.1438309151785714,0.0012599999999999998,0.47932454894347504,1,True
logging_1s,5.0,0.5,0.1,500.0,1.0953425590873236,0.19595312499999998,8.125000000000001e-05,1.3097238844441117,5,True
logging_1s,5.0,1.0,0.2,1000.0,0.7089212795436618,0.19595312499999998,8.125000000000001e-05,0.9144044791361482,5,True
logging_1s,5.0,5.0,1.0,5000.0,0.3997842559087324,0.19595312499999998,8.125000000000001e-05,0.5981489548897465,1,True
logging_1s,5.0,45.0,9.0,45000.0,0.33108713954541474,0.19595312499999998,8.125000000000001e-05,0.5278699495016301,1,True
logging_1s,9.0,0.5,0.05555555555555555,277.77777777777777,1.6848848290216305,0.1677517361111111,0.00019125000000000001,1.893777153723971,5,True
logging_1s,9.0,1.0,0.1111111111111111,555.5555555555555,1.0036924145108153,0.1677517361111111,0.00019125000000000001,1.1922849445920185,5,True
logging_1s,9.0,5.0,0.5555555555555556,2777.777777777778,0.45873848290216307,0.1677517361111111,0.00019125000000000001,0.6310911772864788,1,True
logging_1s,9.0,81.0,9.0,45000.0,0.33090978289519524,0.1677517361111111,0.00019125000000000001,0.4994531331037014,1,True
logging_1s,15.0,0.5,0.03333333333333333,166.66666666666666,2.521311938363838,0.15365104166666668,0.00043125,2.765219526110924,5,True
